Model,Cube Row,Turnover,Ext. Fract,Transition
Null2 AllTrans EqRates,324,0.02144452,0.921875432,0.781903251
Null2 NoDub EqRates,155,0.266156733,0.999245488,0.314128046
Null2 ThreeRate NoDub,157,0.924079787,0.835053509,0.296512568
BiSSE,475,0.131785948,0.038159527,0.443510395
BiSSE Null EqTrans,319,0.111061333,0.620547521,0.019730666
BiSSE Null UneqTrans,141,0.570002351,0.172718797,0.092738938
Null4 EqRates,377,0.63656896,0.469310323,0.208335765
Null4 ThreeRate,246,0.79519097,0.37091735,0.981779238
No0B AllTrans,309,0.702792097,0.651646044,0.441005401
No0B NoDub,183,0.199301583,0.147152632,0.762130999
No1B AllTrans,492,0.835117689,0.474525593,0.057433016
No1B NoDub,439,0.982184683,0.530902172,0.098842754
HiSSE Full AllTrans,103,0.089992681,0.059083736,0.110517688
HiSSE Full NoDub,312,0.120551677,0.535467988,0.005179816
